root_doc_id	doc_element_id	media_type	type	subtype	subsubtype	span
IC001V6F1	IC001V7EJ	text	com	unspecified	unspecified	1-261
IC001V6F1	IC001V7EJ	text	com	unspecified	unspecified	1429-2766
IC001V6F1	IC001V7EJ	text	com	unspecified	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	com	unspecified	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	com	unspecified	unspecified	778-1426
IC001V6F1	IC001V7EJ	text	conflict	attack	bombing	1-261
IC001V6F1	IC001V7EJ	text	conflict	attack	bombing	1429-2766
IC001V6F1	IC001V7EJ	text	conflict	attack	bombing	2770-4055
IC001V6F1	IC001V7EJ	text	conflict	attack	bombing	4059-5390
IC001V6F1	IC001V7EJ	text	conflict	attack	bombing	778-1426
IC001V6F1	IC001V7EJ	text	disaster	fireexplosion	fireexplosion	1-261
IC001V6F1	IC001V7EJ	text	disaster	fireexplosion	fireexplosion	1429-2766
IC001V6F1	IC001V7EJ	text	disaster	fireexplosion	fireexplosion	2770-4055
IC001V6F1	IC001V7EJ	text	disaster	fireexplosion	fireexplosion	4059-5390
IC001V6F1	IC001V7EJ	text	disaster	fireexplosion	fireexplosion	778-1426
IC001V6F1	IC001V7EJ	text	evaluate	status	hoaxfraud	1-261
IC001V6F1	IC001V7EJ	text	evaluate	status	hoaxfraud	1429-2766
IC001V6F1	IC001V7EJ	text	evaluate	status	hoaxfraud	2770-4055
IC001V6F1	IC001V7EJ	text	evaluate	status	hoaxfraud	4059-5390
IC001V6F1	IC001V7EJ	text	evaluate	status	hoaxfraud	778-1426
IC001V6F1	IC001V7EJ	text	fac	building	apartmentbuilding	1-261
IC001V6F1	IC001V7EJ	text	fac	building	apartmentbuilding	1429-2766
IC001V6F1	IC001V7EJ	text	fac	building	apartmentbuilding	2770-4055
IC001V6F1	IC001V7EJ	text	fac	building	apartmentbuilding	4059-5390
IC001V6F1	IC001V7EJ	text	fac	building	apartmentbuilding	778-1426
IC001V6F1	IC001V7EJ	text	fac	way	street	1-261
IC001V6F1	IC001V7EJ	text	fac	way	street	1429-2766
IC001V6F1	IC001V7EJ	text	fac	way	street	2770-4055
IC001V6F1	IC001V7EJ	text	fac	way	street	4059-5390
IC001V6F1	IC001V7EJ	text	fac	way	street	778-1426
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	affiliated	1-261
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	affiliated	1429-2766
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	affiliated	2770-4055
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	affiliated	4059-5390
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	affiliated	778-1426
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	unspecified	1-261
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	unspecified	1429-2766
