origin	entity_type	entityid	name	asciiname	latitude	longitude	feature_class	feature_class_name	feature_code	feature_code_name	feature_code_description	country_code	country_code_name	cc2	admin1_code	admin1_code_name	admin2_code	admin2_code_name	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date	per_gpe_loc_of_association	per_title_or_position	per_org_of_association	per_role_in_incident	per_year_of_birth	per_year_of_death	per_gender	per_family_member	note	aim	org_date_established	date_established_note	org_website	org_gpe_loc_of_association	org_members_employees_per	org_parent_org	executive_board_members	jurisdiction	trusteeship_council	national_societies	external_link
AIDA_AUG_PHASE1	FAC	80000001	Mykhaylo Chechetov's home																																											
AIDA_AUG_PHASE1	FAC	80000002	Oleg Kalashnikov's home																																											
AIDA_AUG_PHASE1	FAC	80000003	Anti-Maidan camp																																											
AIDA_AUG_PHASE1	FAC	80000004	Cathedral Square (a.k.a. Sobornaya Square)																																											
AIDA_AUG_PHASE1	FAC	80000005	Grecheskaya Square (a.k.a. Hretska Square, Hretska Ploshcha, Greek Square)																																											
AIDA_AUG_PHASE1	FAC	80000006	Kulikovo Field (a.k.a. Kulykove Pole)																																											
AIDA_AUG_PHASE1	FAC	80000007	Oleksandrovsky Avenue (a.k.a. Aleksandrovsky Avenue, Hretska Street)																																											
AIDA_AUG_PHASE1	FAC	80000008	Trade Unions House (a.k.a. Trade Unions Building)																																											
AIDA_AUG_PHASE1	FAC	80000010	Kramatorsk city council building																																											
AIDA_AUG_PHASE1	FAC	80000011	Kramatorsk police station																																											
AIDA_AUG_PHASE1	FAC	80000012	Pro-Russian Checkpoint																																											
AIDA_AUG_PHASE1	FAC	80000013	Security Service of Ukraine (SBU) building																																											
AIDA_AUG_PHASE1	FAC	80000014	Sloviansk Police Headquarters																																											
AIDA_AUG_PHASE1	FAC	80000015	Television tower																																											
AIDA_AUG_PHASE1	FAC	80000016	Conservatory Building																																											
AIDA_AUG_PHASE1	FAC	80000017	Globus Shopping Center																																											
AIDA_AUG_PHASE1	FAC	80000018	Hotel Ukrayina (a.k.a. Ukrainia Hotel)																																											
AIDA_AUG_PHASE1	FAC	80000019	Instytutska Street																																											
AIDA_AUG_PHASE1	FAC	80000020	Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)																																											
AIDA_AUG_PHASE1	FAC	80000021	Mariinsky Park																																											
AIDA_AUG_PHASE1	FAC	80000022	October Palace																																											
AIDA_AUG_PHASE1	FAC	80000023	Verkhovna Rada building																																											
AIDA_AUG_PHASE1	FAC	80000024	Artemivsk highway																																											
AIDA_AUG_PHASE1	FAC	80000025	Russia-Ukraine Border																																											
AIDA_AUG_PHASE1	GPE	80000046	Donetsk People's Republic (a.k.a. DPR, DNR)																																											
AIDA_AUG_PHASE1	GPE	80000054	New Russia (a.k.a. Novorosssiya)																																											
AIDA_AUG_PHASE1	GPE	80000056	Krasnoarmeisk (a.k.a. Krasnoarmeysk, Pokrovsk)																																											
AIDA_AUG_PHASE1	GPE	80000058	Luhansk People's Republic (a.k.a. LPR, LNR)																																											
AIDA_AUG_PHASE1	LOC	80000062	Eastern Ukraine																																											
AIDA_AUG_PHASE1	ORG	80000063	Government of Ukraine																																											
AIDA_AUG_PHASE1	ORG	80000064	Mirotvorets Centre																																											
AIDA_AUG_PHASE1	ORG	80000065	Party of Regions (a.k.a. Partia Regionov, Partiya Regionov)																																											
AIDA_AUG_PHASE1	ORG	80000066	Security Service of Ukraine (a.k.a. SSU, SBU)																																											
AIDA_AUG_PHASE1	ORG	80000067	State Property Fund of Ukraine																																											
AIDA_AUG_PHASE1	ORG	80000068	Ukrainian Insurgent Army (a.k.a. UPA)																																											
AIDA_AUG_PHASE1	ORG	80000069	Central Intelligence Agency (a.k.a. CIA)																																											
AIDA_AUG_PHASE1	ORG	80000070	FC Chornomorets Odesa																																											
AIDA_AUG_PHASE1	ORG	80000071	FC Metalist Kharkiv																																											
AIDA_AUG_PHASE1	ORG	80000072	May 2 Group (a.k.a. Group of May 2)																																											
AIDA_AUG_PHASE1	ORG	80000073	Odessa Police																																											
AIDA_AUG_PHASE1	ORG	80000074	Odesskaya Druzhina (a.k.a. Odesska Druzhyna)																																											
AIDA_AUG_PHASE1	ORG	80000075	Russian government																																											
AIDA_AUG_PHASE1	ORG	80000076	Ukrainian Orthodox Church																																											
