abs	intellectual_work_Q15621286
aml	animal_Q729
bal	ballot_Q905151
bod	anatomical_structure_Q4936952
com.document.map	map_Q4006
com.document.personalidentification	identity_document_Q47988
com.document	written_work_Q47461344
com.equipment.humanitarianaid	humanitarian_aid_Q826745
com.equipment	equipment_Q16798631
com.equipment.medicalequipment	medical_equipment_Q6657015
com.equipment.militaryequipment	military_equipment_Q18643213
com.equipment.satellite	artificial_satellite_Q26540
com.flag.flag	flag_Q14660
com	artificial_physical_object_Q8205328
com.wreckage.wreckage	debris_Q637703
fac.building.apartmentbuilding	apartment_building_Q13402009
fac.building.governmentbuilding	government_building_Q16831714
fac.building.house	house_Q3947
fac.building.officebuilding	office_building_Q1021645
fac.building.school	school_building_Q1244442
fac.building.storeshop	shop_Q213441
fac.building	building_Q41176
fac.building.votingfacility	polling_place_Q335778
fac.installation.airport	aerodrome_Q62447
fac.installation.militaryinstallation	military_facility_Q18691599
fac.installation.trainstation	railway_station_Q55488
fac.installation	architectural_structure_Q811979
fac.structure.barricade	barricade_Q81715
fac.structure.bridge	bridge_Q12280
fac.structure.plaza	square_Q174782
fac.structure.tower	tower_Q12518
fac.structure	human_made_geographic_feature_Q811430
fac	artificial_geographic_entity_Q27096235
fac.way.highway	highway_Q269949
fac.way.street	street_Q79007
fac.way	thoroughfare_Q83620
gpe.country.country	country_Q6256
gpe.organizationofcountries.organizationofcountries	intergovernmental_organization_Q245065
gpe	political_territorial_entity_Q1048835
gpe.provincestate.provincestate	administrative_territorial_entity_Q56061
gpe.urbanarea	urban_area_Q702492
gpe.urbanarea.village	village_Q532
gpe.urbanarea.city	city_Q515
inf.topicfiller.topicfiller	information_Q11028
inf	information_Q11028
law.referendum.referendum	referndum_Q43109
law	law_Q7748
loc.geographicpoint.address	postal_address_Q319608
loc.geographicpoint	geographic_location_Q2221906
loc.land.continent	continent_Q5107
loc.land	landmass_Q205895
loc.position.airspace	airspace_Q272730
loc.position	location_Q17334923
loc.position.crimescene	crime_scene_Q1360677
loc.position.field	field_Q188869
loc.position.neighborhood	neighborhood_Q123705
loc.position.region	geographic_region_Q82794
loc	geographic_entity_Q27096213
mhi.symptompresentation.symptompresentation	symptom_Q169872
mhi	health_problem_Q2057971
mon.assets.assets	asset_Q46737
mon	money_Q1368
mon.cash.cash	cash_Q693464
nat	natural_physical_object_Q16686022
org.association.club	club_Q988108
org.association.team	team_Q327245
org.association	association_Q15911314
org.commercialorganization.broadcastingcompany	broadcaster_Q15265344
org.commercialorganization	business_Q4830453
org.commercialorganization.corporation	corporation_Q167037
org.commercialorganization.manufacturer	manufacturer_Q13235160
org.commercialorganization.newsagency	news_agency_Q192283
org.criminalorganization.criminalorganization	criminal_organization_Q1788992
org.government.agency	government_agency_Q327333
org.government.council	government_agency_Q327333
org.government	government_Q7188
org.government.firedepartment	fire_department_Q6498663
org.government.lawenforcementagency	law_enforcement_agency_Q732717
org.government.legislativebody	legislative_house_Q10553309
org.government.prosecutoroffice	prosecutors_office_Q1092499
org.government.railway	railway_Q22667
org.international.commission	international_organization_Q484652
org.international.monitoringgroup	international_organization_Q484652
org.international	international_organization_Q484652
org.militaryorganization.governmentarmedforces	military_Q8473
org.militaryorganization.intelligence	military_intelligence_agency_Q72857065
org.militaryorganization	armed_organization_Q17149090
org.militaryorganization.nongovernmentmilitia	militia_Q153936
org.politicalorganization.court	court_Q41487
org.politicalorganization	political_organisation_Q7210356
org.politicalorganization.party	political_party_Q7278
org	organization_Q43229
per.combatant.mercenary	mercenary_Q178197
per.combatant.sniper	sniper_Q201948
per.combatant	combatant_Q1414937
per.fan.sportsfan	supporter_Q16678266
sid.sports.sports	supporter_Q16678266
sid	supporter_Q16678266
per.fan	fan_Q193432
per.militarypersonnel.militaryofficer	military officer_Q189290
per.militarypersonnel	military personnel_Q47064
per.police.chiefofpolice	chief_of_police_Q2855502
per.police	police_officer_Q384593
per.politician.governor	governor_Q132050
per.politician.headofgovernment	head_of_government_Q2285706
per.politician.mayor	mayor_Q30185
per.politician	politician_Q82955
per.professionalposition.ambassador	ambassador_Q121998
per.professionalposition.firefighter	firefighter_Q107711
per.professionalposition	professional_Q702269
per.professionalposition.journalist	journalist_Q1930187
per.professionalposition.medicalpersonnel	health_professional_Q11974939
per.professionalposition.minister	minister_Q83307
per.professionalposition.scientist	scientist_Q901
per.professionalposition.spokesperson	spokesperson_Q17221
per.professionalposition.spy	spy_Q9352089
per.protester.protestleader	political_activist_Q11499147
per.protester	political_activist_Q11499147
per	person_Q215627
pla	plant_Q756
pth	disease_causative_agent_Q2826767
res.numberpercentagevotes.numberpercentagevotes	NumberPercentageVotes_
res.turnoutvoters.turnoutvoters	voter_turnout_Q1339847
res	voting_result_Q51591359
sen	sentence_Q1763090
sid.cultural.cultural	group_of_humans_Q16334295
sid.ideological.ideological	political_ideology_Q12909644
sid.political.opposition	political_opposition_Q192852
sid.religious.religious	religious_community_Q2742167
ttl	title_Q216353
val.number.number	number_Q11563
val	property_Q937228
veh.aircraft.airplane	fixed-wing_aircraft_Q2875704
veh.aircraft.cargoaircraft	cargo_aircraft_Q19799
veh.aircraft.drone	unmanned_aerial_vehicle_Q484000
veh.aircraft.helicopter	helicopter_Q34486
veh.aircraft	aircraft_Q11436
veh.militaryvehicle.fighteraircraft	fighter_Q127771
veh.militaryvehicle.militaryboat	naval_vessel_Q177597
veh.militaryvehicle	military_vehicle_Q1184840
veh.militaryvehicle.militarytransportaircraft	airlifter_Q1445518
veh.militaryvehicle.tank	tank_Q12876
veh.rocket.rocket	rocket_Q41291
veh	vehicle_Q42889
veh.watercraft.boat	boat_Q35872
veh.watercraft	watercraft_Q1229765
veh.watercraft.yacht	yacht_Q170173
veh.wheeledvehicle.bus	bus_Q5638
veh.wheeledvehicle	wheeled_vehicle_Q15618781
veh.wheeledvehicle.car	motor_car_Q1420
veh.wheeledvehicle.fireapparatus	fire_engine_Q208281
veh.wheeledvehicle.train	train_Q870
veh.wheeledvehicle.truck	truck_Q43193
wea.bomb.grenade	grenade_Q19267880
wea.bomb.molotovcocktail	Molotov_cocktail_Q167096
wea.bomb	bomb_Q127197
wea.bullets.ammunition	ammunition_Q185785
wea.bullets	bullet_Q174583
wea.bullets.liverounds	live-fire_ammunition_Q9150205
wea.bullets.rubberbullets	rubber_bullet_Q913345
wea.cannon.cannon	cannon_Q81103
wea.club.bat	baseball_bat_Q809910
wea.club	club_Q392326
wea.daggerknifesword.hatchet	axe_Q39397
wea.daggerknifesword	close_combat_weapon_Q222405
wea.gas.poisongas	poison_gas_Q55942755
wea.gas.teargas	tear_gas_Q190512
wea.gas	chemical_weapon_Q3639228
wea.grenadelauncher.grenadelauncher	grenade_launcher_Q184613
wea.gun.artillery	artillery_Q64418
wea.gun	projectile_weapon_Q1194773
wea.gun.firearm	firearm_Q12796
wea.missilesystem.airtoairmissile	air-to-air_missile_Q243249
wea.missilesystem.antiaircraftmissle	surface-to-air_missile_Q466704
wea.missilesystem.surfacetoairmissile	surface-to-air_missile_Q466704
wea.missilesystem.missile	missile_Q974850
wea.missilesystem	missile_system_Q4389307
wea.missilesystem.missilelauncher	rocket_launcher_Q3216918
wea.thrownprojectile.rock	throwing_weapon_Q1566976
wea.thrownprojectile	throwing_weapon_Q1566976
wea	weapon_Q728
