root_uid	argmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	arg_status	level
IC0015SDO	EMIC0015SDO.000024	IC0015SDR	79	89	Oles Buzyna	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzyna	per	professionalposition	journalist	base	nam
IC0015SDO	EMIC0015SDO.000037	IC0015SDR	153	156	Kiev	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Kiev	gpe	urbanarea	city	base	nam
IC0015SDO	EMIC0015SDO.000050	IC0015SDR	128	131	shot	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	shot	wea	gun	unspecified	base	nom
IC0015SDO	EMIC0015SDO.000246	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	0.0	1.427	HC0005MA5_1	0,0,1280,720 	Buzyna	per	professionalposition	journalist	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000259	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	10.896	11.508	HC0005MA5_2	0,0,1280,720 	Kiev	gpe	urbanarea	city	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000272	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	11.474	14.969	HC0005MA5_2	0,0,1280,720 	two masked gunmen	per	combatant	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000306	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	26.413	38.226	HC0005MA5_4	0,0,1280,720 	Oleg Kalashnikov	per	politician	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000319	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	38.218	42.599	HC0005MA5_8	0,0,1280,720 	Kiev	gpe	urbanarea	city	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000353	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	55.64	68.692	HC0005MA5_11	0,0,1280,720 	probable suicide hedged murder	per	professionalposition	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000366	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	55.908	68.729	HC0005MA5_11	0,0,1280,720 	6 officials	per	professionalposition	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000891	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	picture	76.471	90.279	HC0005MA5_15	0,0,1280,720 	Putin	per	politician	headofgovernment	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000925	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	picture	27.848	35.099	HC0005MA5_5	0,0,1280,720 	unspecified military/police	per	unspecified	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000938	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	picture	27.697	35.105	HC0005MA5_5	0,0,1280,720 	house	fac	building	house	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000951	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	picture	27.697	34.542	HC0005MA5_5	0,0,1280,720 	van	loc	unspecified	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000964	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	picture	28.7	34.585	HC0005MA5_6	0,0,1280,720 	Oleg Kalashnikov	per	politician	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.000998	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	11.551	14.149	HC0005MA5_2	0,0,1280,720 	Two masked gunmen	per	combatant	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.001011	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	14.31	14.935	HC0005MA5_2	0,0,1280,720 	Oles Buzyna	per	professionalposition	journalist	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.001024	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	16.778	18.093	HC0005MA5_2	0,0,1280,720 	Kiev	gpe	urbanarea	city	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.001058	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	37.87	38.541	HC0005MA5_8	0,0,1280,720 	Oleg Kalashnikov	per	politician	unspecified	base	EMPTY_NA
IC0015SDO	EMIC0015SDO.001071	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	41.805	42.651	HC0005MA5_9	0,0,1280,720 	Kiev	gpe	urbanarea	city	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001000	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	38.334	39.48	HC0005MC2_10	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001013	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	38.334	39.48	HC0005MC2_10	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001026	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	40.15	42.366	HC0005MC2_11	0,0,640,360 	his 17th floor apartment	fac	building	apartmentbuilding	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001275	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.739	24.112	HC0005MC2_8	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001288	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.631	24.112	HC0005MC2_8	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.000922	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.969	27.599	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001468	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.969	27.599	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001596	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	38.144	39.483	HC0005MC2_10	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
