root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
IC0015MVH	RMIC0015MVH.000063	HC0008OSY	241	242	in	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	apartment of Oleg Kalashnikov in Kiev	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.000110	HC0008OSY	173	183	anti-Maidan	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	anti-Maidan activist, Oleg Kalashnikov	generalaffiliation	memberoriginreligionethnicity	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.000264	HC0008OSY	318	337	government officials	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	victims affiliated with former government	organizationaffiliation	employmentmembership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.000311	HC0008OSY	374	380	members	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	victims affiliated with ex-President Yanukovich's party	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.000465	HC0008OSY	963	1008	the primary possible motive behind the killing	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	the main cause of Kalashnikov's murder	responsibilityblame	assignblame	assignblame	none	startafter	2015-04-16	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.000713	HC0008OSY	1295	1303	challenge	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	anti-Maidan disapproved of Kiev government	evaluate	sentiment	negative	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.001363	HC0008OSY	2510	2516	alleged	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Kalashnikov's former employers blamed for his murder	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.001624	HC0008OSY	3193	3202	supporters	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Kalashnikov supported Party of Regions	organizationaffiliation	employmentmembership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.001671	HC0008OSY	3186	3202	former supporters	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	others who've been found dead also supported Party of Regions	organizationaffiliation	employmentmembership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.002282	HC0008OSY	3908	3915	chairman	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Aleksey Kolesnik affiliated with former government	organizationaffiliation	leadership	government	none	startbefore	2015-01-29	endbefore	2015-01-29
IC0015MVH	RMIC0015MVH.002389	HC0008OSY	4024	4029	member	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Stanislav Melnik, former political party member	organizationaffiliation	employmentmembership	employment	none	startbefore	2015-02-24	endbefore	2015-02-24
IC0015MVH	RMIC0015MVH.002715	HC0008OSY	4154	4158	Mayor	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Valter was Mayor of Melitopol	organizationaffiliation	leadership	government	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.002976	HC0008OSY	4257	4268	deputy chief	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Aleksandr Bordyuga affiliated with police	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MVH	RMIC0015MVH.003485	HC0008OSY	4585	4590	member	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Mikhail Chechetov affiliated with Party of Regions	organizationaffiliation	employmentmembership	membership	none	startbefore	2015-02-28	endbefore	2015-02-28
IC0015MXG	RMIC0015MXG.000170	HC000Q7OO	435	462	described them as deliberate	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	evaluate	deliberateness	deliberate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MXG	RMIC0015MXG.000217	HC000Q7OO	435	467	described them as deliberate acts	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	evaluate	deliberateness	deliberate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MXG	RMIC0015MXG.000353	HC000Q7OO	862	925	suggested they were the work of Russian special forces assassins	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	responsibilityblame	assignblame	assignblame	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MXG	RMIC0015MXG.000426	HC000Q7OO	862	925	suggested they were the work of Russian special forces assassins	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	responsibilityblame	assignblame	assignblame	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MXG	RMIC0015MXG.000507	HC000Q7OO	1159	1193	on behalf of the Russian Bloc party	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MXG	RMIC0015MXG.000554	HC000Q7OO	1689	1762	a former member of parliament for Yanukovichs discredited Party of Regions	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015MXG	RMIC0015MXG.000601	HC000Q7OO	1921	1933	played a part	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	generalaffiliation	sponsorship	affiliated	none	startunk	EMPTY_NA	endunk	EMPTY_NA
