root_uid	relationmention_id	slot_type	argmention_id
IC0015SDO	RMIC0015SDO.000063	rel059arg02event	VMIC0015SDO.000003
IC0015SDO	RMIC0015SDO.000063	rel059arg01entityresponsible	EMIC0015SDO.000097
IC0015SDO	RMIC0015SDO.000110	rel059arg02event	VMIC0015SDO.000003
IC0015SDO	RMIC0015SDO.000110	rel059arg01entityresponsible	EMIC0015SDO.000144
IC0015SDO	RMIC0015SDO.000447	rel059arg01entityresponsible	EMIC0015SDO.000468
IC0015SDO	RMIC0015SDO.000447	rel059arg02event	VMIC0015SDO.000225
IC0015SDO	RMIC0015SDO.000494	rel059arg01entityresponsible	EMIC0015SDO.000515
IC0015SDO	RMIC0015SDO.000494	rel059arg02event	VMIC0015SDO.000285
IC0015SDO	RMIC0015SDO.000541	rel059arg01entityresponsible	EMIC0015SDO.000562
IC0015SDO	RMIC0015SDO.000541	rel059arg02event	VMIC0015SDO.000332
IC0015SDO	RMIC0015SDO.000588	rel059arg01entityresponsible	EMIC0015SDO.000609
IC0015SDO	RMIC0015SDO.000588	rel059arg02event	VMIC0015SDO.000225
IC0015SDO	RMIC0015SDO.000635	rel059arg01entityresponsible	EMIC0015SDO.000656
IC0015SDO	RMIC0015SDO.000635	rel059arg02event	VMIC0015SDO.000285
IC0015SDO	RMIC0015SDO.000682	rel059arg01entityresponsible	EMIC0015SDO.000703
IC0015SDO	RMIC0015SDO.000682	rel059arg02event	VMIC0015SDO.000332
IC0015SDO	RMIC0015SDO.000729	rel059arg01entityresponsible	EMIC0015SDO.000750
IC0015SDO	RMIC0015SDO.000729	rel059arg02event	VMIC0015SDO.000225
IC0015SDO	RMIC0015SDO.000776	rel059arg01entityresponsible	EMIC0015SDO.000797
IC0015SDO	RMIC0015SDO.000776	rel059arg02event	VMIC0015SDO.000285
IC0015SDO	RMIC0015SDO.000823	rel059arg01entityresponsible	EMIC0015SDO.000844
IC0015SDO	RMIC0015SDO.000823	rel059arg02event	VMIC0015SDO.000332
IC0015SDV	RMIC0015SDV.000163	rel021arg02sponsor	EMIC0015SDV.000210
IC0015SDV	RMIC0015SDV.000163	rel021arg01actororevent	VMIC0015SDV.000445
IC0015SDV	RMIC0015SDV.000361	rel061arg02event	VMIC0015SDV.000445
IC0015SDV	RMIC0015SDV.000361	rel061arg01entityresponsible	EMIC0015SDV.002046
IC0015SDV	RMIC0015SDV.000382	rel061arg02event	VMIC0015SDV.000550
IC0015SDV	RMIC0015SDV.000382	rel061arg01entityresponsible	EMIC0015SDV.002020
IC0015SDV	RMIC0015SDV.000403	rel061arg01entityresponsible	EMIC0015SDV.001981
IC0015SDV	RMIC0015SDV.000403	rel061arg02event	VMIC0015SDV.000466
IC0015SDV	RMIC0015SDV.000424	rel021arg02sponsor	EMIC0015SDV.001955
IC0015SDV	RMIC0015SDV.000424	rel021arg01actororevent	VMIC0015SDV.000466
IC0015SDV	RMIC0015SDV.000597	rel047arg02jobrole	EMIC0015SDV.000618
IC0015SDV	RMIC0015SDV.000597	rel047arg01person	EMIC0015SDV.000631
IC0015SDV	RMIC0015SDV.000644	rel036arg02placeofmembership	EMIC0015SDV.001481
IC0015SDV	RMIC0015SDV.000644	rel036arg01member	EMIC0015SDV.001494
IC0015SDV	RMIC0015SDV.000665	rel049arg02person	EMIC0015SDV.001570
IC0015SDV	RMIC0015SDV.000665	rel049arg01person	EMIC0015SDV.001583
IC0015SDV	RMIC0015SDV.000770	rel047arg02jobrole	EMIC0015SDV.001635
IC0015SDV	RMIC0015SDV.000770	rel047arg01person	EMIC0015SDV.001648
IC0015SDV	RMIC0015SDV.000875	rel039arg02organization	EMIC0015SDV.001700
IC0015SDV	RMIC0015SDV.000875	rel039arg01leader	EMIC0015SDV.001713
