root_uid	eventmention_id	slot_type	argmention_id	attribute
IC0015LNI	VMIC0015LNI.000003	evt090arg02victim	EMIC0015LNI.000696	none
IC0015LNI	VMIC0015LNI.000003	evt090arg04place	EMIC0015LNI.000722	none
IC0015LNI	VMIC0015LNI.000045	evt090arg01killer	EMIC0015LNI.000868	none
IC0015LNI	VMIC0015LNI.000045	evt090arg02victim	EMIC0015LNI.000881	none
IC0015LNI	VMIC0015LNI.000045	evt090arg04place	EMIC0015LNI.000894	none
IC0015LNI	VMIC0015LNI.000087	evt090arg02victim	EMIC0015LNI.000980	none
IC0015LNI	VMIC0015LNI.000087	evt090arg03instrument	EMIC0015LNI.000993	none
IC0015LNI	VMIC0015LNI.000087	evt090arg04place	EMIC0015LNI.001006	none
IC0015LNI	VMIC0015LNI.000108	evt002arg02artifact	EMIC0015LNI.001131	none
IC0015LNI	VMIC0015LNI.000108	evt002arg04place	EMIC0015LNI.001144	none
IC0015LNI	VMIC0015LNI.000129	evt004arg02target	EMIC0015LNI.001178	none
IC0015LNI	VMIC0015LNI.000129	evt004arg04place	EMIC0015LNI.001191	none
IC0015LNI	VMIC0015LNI.000150	evt090arg02victim	EMIC0015LNI.001204	none
IC0015LNI	VMIC0015LNI.000150	evt090arg04place	EMIC0015LNI.001217	none
IC0015LNI	VMIC0015LNI.000171	evt002arg02artifact	EMIC0015LNI.001230	none
IC0015LNI	VMIC0015LNI.000171	evt002arg04place	EMIC0015LNI.001243	none
IC0015LNI	VMIC0015LNI.000339	evt043arg01communicator	EMIC0015LNI.001825	none
IC0015LNI	VMIC0015LNI.000339	evt043arg02recipient	EMIC0015LNI.001838	none
IC0015LNI	VMIC0015LNI.000381	evt114arg01transporter	EMIC0015LNI.001997	none
IC0015LNI	VMIC0015LNI.000381	evt114arg02passenger	EMIC0015LNI.002010	none
IC0015LNI	VMIC0015LNI.000381	evt114arg04origin	EMIC0015LNI.002023	none
IC0015LNI	VMIC0015LNI.000402	evt012arg01attacker	EMIC0015LNI.002430	none
IC0015LNI	VMIC0015LNI.000402	evt012arg02target	EMIC0015LNI.002443	none
IC0015LNI	VMIC0015LNI.000402	evt012arg04place	EMIC0015LNI.002456	none
IC0015LNI	VMIC0015LNI.000444	evt120arg01preventer	EMIC0015LNI.002391	none
