kb_id	mention_id	root_uid
NILE04453	EMIC0015LNI.000696	IC0015LNI
80000008	EMIC0015LNI.000722	IC0015LNI
NILE04454	EMIC0015LNI.000868	IC0015LNI
NILE04453	EMIC0015LNI.000881	IC0015LNI
80000008	EMIC0015LNI.000894	IC0015LNI
80000134	EMIC0015LNI.000980	IC0015LNI
NILE04455	EMIC0015LNI.000993	IC0015LNI
80000008	EMIC0015LNI.001006	IC0015LNI
80000008	EMIC0015LNI.001131	IC0015LNI
80000008	EMIC0015LNI.001144	IC0015LNI
NILE04456	EMIC0015LNI.001178	IC0015LNI
80000008	EMIC0015LNI.001191	IC0015LNI
NILE04456	EMIC0015LNI.001204	IC0015LNI
80000008	EMIC0015LNI.001217	IC0015LNI
NILE05919	EMIC0015LNI.001230	IC0015LNI
80000008	EMIC0015LNI.001243	IC0015LNI
NILE04458	EMIC0015LNI.001825	IC0015LNI
NILE05923	EMIC0015LNI.001838	IC0015LNI
NILE04460	EMIC0015LNI.001997	IC0015LNI
NILE04461	EMIC0015LNI.002010	IC0015LNI
NILE04462	EMIC0015LNI.002023	IC0015LNI
NILE04464	EMIC0015LNI.002430	IC0015LNI
80000003	EMIC0015LNI.002443	IC0015LNI
NILE04462	EMIC0015LNI.002456	IC0015LNI
NILE04464	EMIC0015LNI.002391	IC0015LNI
NILE04463	EMIC0015LNI.002404	IC0015LNI
80000008	EMIC0015LNI.002417	IC0015LNI
NILE04465	EMIC0015LNI.002576	IC0015LNI
80000008	EMIC0015LNI.002589	IC0015LNI
NILE04459	EMIC0015LNI.002602	IC0015LNI
NILE04465	EMIC0015LNI.002615	IC0015LNI
NILE05927	EMIC0015LNI.002628	IC0015LNI
NILE04453	EMIC0015LNI.000808	IC0015LNI
80000008	EMIC0015LNI.000821	IC0015LNI
NILE04454	EMIC0015LNI.002988	IC0015LNI
80000008	EMIC0015LNI.003001	IC0015LNI
NILE04453	EMIC0015LNI.003014	IC0015LNI
80000134	EMIC0015LNI.001053	IC0015LNI
NILE04455	EMIC0015LNI.001066	IC0015LNI
80000008	EMIC0015LNI.001079	IC0015LNI
698740|80000036	EMIC0015LNI.001324	IC0015LNI
NILE05936	EMIC0015LNI.003092	IC0015LNI
NILE04457	EMIC0015LNI.001384	IC0015LNI
80000063	EMIC0015LNI.001397	IC0015LNI
698740|80000036	EMIC0015LNI.001478	IC0015LNI
NILE05920	EMIC0015LNI.001572	IC0015LNI
698740|80000036	EMIC0015LNI.001585	IC0015LNI
80000008	EMIC0015LNI.001692	IC0015LNI
80000319	EMIC0015LNI.001705	IC0015LNI
698740|80000036	EMIC0015LNI.001718	IC0015LNI
NILE04459	EMIC0015LNI.001945	IC0015LNI
80000008	EMIC0015LNI.001958	IC0015LNI
80000319	EMIC0015LNI.001971	IC0015LNI
698740|80000036	EMIC0015LNI.001984	IC0015LNI
NILE04464	EMIC0015LNI.002232	IC0015LNI
80000003	EMIC0015LNI.002245	IC0015LNI
NILE04462	EMIC0015LNI.002258	IC0015LNI
80000003	EMIC0015LNI.002339	IC0015LNI
80000008	EMIC0015LNI.002352	IC0015LNI
NILE04464	EMIC0015LNI.002365	IC0015LNI
NILE04463	EMIC0015LNI.002378	IC0015LNI
NILE05925	EMIC0015LNI.002511	IC0015LNI
80000008	EMIC0015LNI.002524	IC0015LNI
80000008	EMIC0015LNI.002537	IC0015LNI
NILE05926	EMIC0015LNI.002550	IC0015LNI
80000008	EMIC0015LNI.002563	IC0015LNI
NILE05937	EMIC0015LNI.003105	IC0015LNI
NILE05938	EMIC0015LNI.003118	IC0015LNI
NILE05935	EMIC0015LNI.003066	IC0015LNI
NILE04459	EMIC0015LNI.003575	IC0015LNI
NILE05939	EMIC0015LNI.003588	IC0015LNI
80000066	EMIC0015LNI.003601	IC0015LNI
80000320	EMIC0015LNI.003614	IC0015LNI
80000320	EMIC0015LNI.003627	IC0015LNI
NILE05934	EMIC0015LNI.003040	IC0015LNI
NILE05931	EMIC0015LNI.002923	IC0015LNI
80000008	EMIC0015LNI.002936	IC0015LNI
NILE05932	EMIC0015LNI.002949	IC0015LNI
698740|80000036	EMIC0015LNI.002962	IC0015LNI
NILE05933	EMIC0015LNI.002975	IC0015LNI
NILE04467	EMIC0015LNI.003361	IC0015LNI
80000063	EMIC0015LNI.003374	IC0015LNI
80000073	EMIC0015LNI.003755	IC0015LNI
NILE05940	EMIC0015LNI.003768	IC0015LNI
80000130	EMIC0015LRB.000024	IC0015LRB
NILE04469	EMIC0015LRB.000037	IC0015LRB
698740|80000036	EMIC0015LRB.000050	IC0015LRB
NILE05941	EMIC0015LRB.000084	IC0015LRB
NILE05942	EMIC0015LRB.000097	IC0015LRB
80000008	EMIC0015LRB.000110	IC0015LRB
80000319	EMIC0015LRB.000251	IC0015LRB
80000008	EMIC0015LRB.000264	IC0015LRB
NILE05950	EMIC0015LRB.001624	IC0015LRB
NILE04477	EMIC0015LRB.002488	IC0015LRB
80000008	EMIC0015LRB.000298	IC0015LRB
NILE04474	EMIC0015LRB.001598	IC0015LRB
NILE04477	EMIC0015LRB.001611	IC0015LRB
NILE04470	EMIC0015LRB.000332	IC0015LRB
80000008	EMIC0015LRB.000345	IC0015LRB
NILE05944	EMIC0015LRB.000520	IC0015LRB
NILE04469	EMIC0015LRB.000533	IC0015LRB
NILE05945	EMIC0015LRB.000546	IC0015LRB
