entity_type	name
FAC.Building.House	Mykhaylo Chechetov's home
FAC.Building.House	Oleg Kalashnikov's home
FAC	Anti-Maidan camp
FAC.Structure.Plaza	Cathedral Square (a.k.a. Sobornaya Square)
FAC.Structure.Plaza	Grecheskaya Square (a.k.a. Hretska Square, Hretska Ploshcha, Greek Square)
FAC	Kulikovo Field (a.k.a. Kulykove Pole)
FAC	Oleksandrovsky Avenue (a.k.a. Aleksandrovsky Avenue, Hretska Street)
FAC	Trade Unions House (a.k.a. Trade Unions Building)
FAC	Kramatorsk city council building
FAC	Kramatorsk police station
FAC	Pro-Russian Checkpoint
FAC	Security Service of Ukraine (SBU) building
FAC	Sloviansk Police Headquarters
FAC.Structure.Tower	Television tower
FAC	Conservatory Building
FAC	Globus Shopping Center
FAC	Hotel Ukrayina (a.k.a. Ukrainia Hotel)
FAC	Instytutska Street
FAC	Maidan Nezalezhnosti (a.k.a. Maidan, Independence Square)
FAC	Mariinsky Park
FAC	October Palace
FAC	Verkhovna Rada building
FAC	Artemivsk highway
FAC	Russia-Ukraine Border
GPE.Country.Country	Donetsk People's Republic (a.k.a. DPR, DNR)
GPE.Country.Country	New Russia (a.k.a. Novorosssiya)
GPE.Country.Country	Krasnoarmeisk (a.k.a. Krasnoarmeysk, Pokrovsk)
GPE.Country.Country	Luhansk People's Republic (a.k.a. LPR, LNR)
LOC	Eastern Ukraine
ORG	Government of Ukraine
ORG	Mirotvorets Centre
ORG	Party of Regions (a.k.a. Partia Regionov, Partiya Regionov)
ORG	Security Service of Ukraine (a.k.a. SSU, SBU)
ORG	State Property Fund of Ukraine
ORG	Ukrainian Insurgent Army (a.k.a. UPA)
ORG	Central Intelligence Agency (a.k.a. CIA)
ORG	FC Chornomorets Odesa
ORG	FC Metalist Kharkiv
ORG	May 2 Group (a.k.a. Group of May 2)
ORG	Odessa Police
ORG	Odesskaya Druzhina (a.k.a. Odesska Druzhyna)
ORG	Russian government
ORG	Ukrainian Orthodox Church
ORG	45th Guards Regiment of the Airborne Forces of RF
ORG	Armed Forces of Ukraine
ORG	Donbass People's Militia (a.k.a. DPM)
ORG	Federal Security Service (a.k.a. FSB)
ORG	Fight clubs
ORG	Main Intelligence Directorate (a.k.a. GRU)
ORG	Right Sector
ORG	Military forces of Russia
ORG	Special Forces of Russia (a.k.a. Spetsnaz)
ORG	Special Forces of Ukraine (a.k.a. Spetsnaz)
ORG	The National Guard of Ukraine (a.k.a. NGU)
ORG	Ukraine's 25th paratrooper division
ORG	Ukrainian Forces "Omega" Division
ORG	Ukrainian Ground Forces
ORG	Anti-Terrorist Operation force
ORG	Ministry of Defense of Russia
ORG	Berkut Riot Police
ORG	Maidan People's Union
ORG	Omega division
ORG	Russian Ministry of Internal Affairs
ORG	Tiger Special forces
ORG	Ukrainian General Prosecutor's Office
ORG	Ukrainian Institute for National Memory
ORG	Ukrainian Internal Affairs Ministry
ORG	Trilateral Contact Group on Ukraine
ORG	Verkhovna Rada
ORG	Central Election Commission
ORG	Donetsk regional administration
ORG	Russian National Unity (a.k.a. RNU)
ORG	U.S. State Department
PER	Andrey Medvedko
PER	Denis Polischuk
PER	Mykhaylo Chechetov (a.k.a. Mikhailo, Mykhailo)
PER	Mykola Serhiyenko (a.k.a. Nikolai Sergienko)
PER	Oleg Kalashnikov (a.k.a. Oleh Kalashnikov)
PER	Oleksandr Bordyuh (a.k.a. Alexander Bordiuga)
PER	Oleksandr Peklushenko (a.k.a. Aleksandr Peklushenko)
PER	Oleksiy Kolesnik (a.k.a Oleksiy Kolesnyk, Aleksey Kolesnik, Алексей Колесник)
PER	Oles Buzyna (a.k.a. Oleg Buzina)
PER	Rinat Akhmetov
PER	Sergey Melnychuk (a.k.a. Sergei, Serhiy, Melnichuk)
PER	Sergey Sukhobok [Russian: Серге́й Сухобо́к ; Ukrainian: Сергій Сухобок ; aka Sergei/Serhiy]
PER	Serhiy Walter (a.k.a. Sergiy Valter)
PER	Stanislav Melnyk (a.k.a. Stanislav Melnik)
PER	Unaffiliated assassin
PER	Witnesses of Buzyna murder
PER	Andriy Parubiy
PER	Dmitry Gumenyuk
PER	Firefighters in Odessa
PER	Football Ultras in Odessa
PER	Igor Bolyansky
PER	Igor Ivanov
PER	Peter Lutsyuk (a.k.a. Petro Lutsiuk, Petr Lutsyuk)
PER	Pregnant woman in Trade Unions Building
PER	Sergey Dolzhenkov
PER	Sergey Pashinsky (a.k.a. Sergei Pashinsky)
PER	Vitaly Budko
PER	Yevgeny Mefedov
PER	Alexander Mozhaev (a.k.a. Babay, Bogeyman)
PER	Igor Perepechayenko
PER	Igor Strelkov (a.k.a. Igor Girkin)
PER	Vladimir Lukin
